id;nombre;descripcion;precio;imagen;imagen_content_type;cantidad;categoria
1;vibration;soft softly;13011.6;../fake-data/blob/hipster.png;image/png;13238;JUGUETERIA
2;pick correctly;skyscraper brr;18754.25;../fake-data/blob/hipster.png;image/png;19484;MASCOTAS
3;pro;reassuringly and failing;16239.14;../fake-data/blob/hipster.png;image/png;20960;ROPA_Y_ZAPATERIA
4;whether ha;spanish construe ouch;293.61;../fake-data/blob/hipster.png;image/png;20783;JUGUETERIA
5;mushy ack;if;18968.95;../fake-data/blob/hipster.png;image/png;28906;MASCOTAS
6;mmm;furthermore;12687;../fake-data/blob/hipster.png;image/png;10889;FARMACIA
7;puppet;notwithstanding yahoo fully;23907.35;../fake-data/blob/hipster.png;image/png;15768;JUGUETERIA
8;importance whoever;because phew;24701.25;../fake-data/blob/hipster.png;image/png;23190;ROPA_Y_ZAPATERIA
9;fill whoa;ultimately axe;3040.08;../fake-data/blob/hipster.png;image/png;4278;FARMACIA
10;uh-huh;complicated;15309.74;../fake-data/blob/hipster.png;image/png;28889;MASCOTAS
